filename,pitch_mean,pitch_max
933_강이채_Gyp (Feat. 고상지 & Mathias Minquet).wav,791.582,816.726
242_Hardwell_Eclipse.wav,775.3068696,879.776
1895_XXX_승무원.wav,748.7488235,795.646
1603_더 폴스_moon in water.wav,724.2920968,867.336
727_Darren Korb_A Proper Story.wav,692.856,692.856
1688_Zedd_Stache.wav,676.8323388,878.947
515_라이프 앤 타임_호랑이.wav,665.76075,863.159
184_Skrillex_The Devil`s Den (With Wolfgang Gartner).wav,662.5127857,699.947
2161_Flume_Quirk.wav,657.4920734,875.941
702_Bruno Mars_Locked Out of Heaven.wav,645.3164318,879.855
1820_Skrillex_Right In.wav,640.0440432,878.645
955_Galantis_Peanut Butter Jelly.wav,635.9239459,878.592
186_W&JAS_가장 먼 여행.wav,635.6683559,859.356
65_Zedd_Breakn A Sweat (Zedd Remix).wav,633.5090326,846.464
66_Zedd_Breakn A Sweat (Zedd Remix).wav,633.5090326,846.464
170_글렌체크_Young Generation.wav,620.5729394,874.103
993_Kygo_Fiction (Feat. Tom Odell).wav,617.6212222,877.04
195_Zedd_Straight Into the Fire.wav,611.1338713,874.887
1114_Nero_Into The Night.wav,604.1560609,877.933
97_Birdy_Not About Angels.wav,594.14908,791.229
1449_Kygo_Raging (Feat. Kodaline).wav,593.6449137,876.317
2125_Hardwell & Headhunterz_Nothing Can Hold Us Down (Feat. Haris).wav,592.8914731,839.351
447_Justin Bieber_Children .wav,589.8559841,743.43
546_Sigala_Give Me Your Love (feat. John Newman & Nile Rodgers).wav,577.5736651,719.899
1708_Daft Punk_Arena.wav,575.928,575.928
2_Skrillex_First Of The Year (Equinox).wav,570.8775113,811.028
643_Haywyre_Back And Forth.wav,570.537104,879.627
569_Madeon_Icarus.wav,567.052358,854.678
458_넬_Meaningless.wav,565.7973824,862.917
1549_Alan Walker_Sing Me to Sleep.wav,564.9012296,875.768
964_넬_소멸탈출.wav,564.5455814,878.902
923_Demi Lovato_Lionheart.wav,562.1788837,867.536
422_So!YoON!_Athena (feat. Se So Neon).wav,561.3570794,871.718
890_Madeon_Isometric (Intro).wav,559.5357193,870.352
502_이진아_편지.wav,558.3169136,878.225
41_Galantis_Runaway (U & I).wav,557.0586918,837.81
42_Galantis_Runaway (U & I).wav,557.0586918,837.81
1987_Syn Cole_Miami 82 (Kygo Remix).wav,553.3547544,878.122
44_The Chainsmokers_Don't Let Me Down (feat. Daya) (Illenium Remix).wav,548.5911471,878.794
45_The Chainsmokers_Don't Let Me Down (feat. Daya) (Illenium Remix).wav,548.5911471,878.794
1632_ODESZA_Memories That You Call (Feat. Monsoonsiren).wav,541.1032742,879.164
1483_Disclosure_You & Me (feat. Eliza Doolittle) (Flume Remix).wav,540.3862636,875.702
203_C2C_Someday.wav,539.8429846,875.513
1195_Madeon_Imperium.wav,539.7703739,868.66
1149_Cash Cash_Surrender (Pierce Fulton Remix).wav,537.1014449,837.709
465_Demi Lovato_Father.wav,533.8834538,652.778
"55_Skrillex, Diplo, Justin Bieber_Where Are Ü Now .wav",529.6138025,879.335
"54_Skrillex, Diplo, Justin Bieber_Where Are Ü Now .wav",529.6138025,879.335
2121_ODESZA_Sun Models (Feat. Madelyn Grant).wav,528.2011374,827.351
250_Andra Day_Rise Up.wav,527.3983922,743.003
126_아이엠낫_RBTY.wav,525.5975246,878.168
143_Nero_Guilt.wav,522.0892989,848.651
360_ODESZA_Bloom.wav,519.7560882,875.242
1604_Avicii_Gonna Love Ya.wav,517.9115644,837.926
610_Jess Glynne_Hold My Hand.wav,517.8291189,805.476
1365_윤하_소나기.wav,517.6115174,873.791
1761_Madeon_Ok.wav,514.5533319,788.028
417_아이유_너랑 나.wav,514.5370514,813.286
1818_ODESZA_Koto.wav,514.0916667,878.685
1779_Beyoncé_Love On Top.wav,513.0728995,877.478
1251_Haywyre_The Schism (Original Mix).wav,510.8510282,871.06
476_Nero_Satisfy.wav,508.5526429,878.584
"172_Kygo, Imagine Dragons_Born To Be Yours.wav",507.4743436,780.493
735_Galantis_In My Head.wav,507.0372897,834.478
1318_Walk Off the Earth_Red Hands.wav,505.7590473,827.72
2068_Cash Cash_Broken Drum (Ft. Fitz Of Fitz And The Tantrums).wav,505.7286319,879.732
294_Rihanna_We Found Love (Feat. Calvin Harris).wav,505.6875747,877.659
1443_구름_마피아.wav,505.3986,876.671
2020_Louis The Child_Broken Record (Louis The Child Remix).wav,504.218617,792.903
"1642_디어 클라우드_그때와 같은 공간, 같은 노래가.wav",503.9953043,830.217
1302_DJ Snake_Let Me Love You (feat. Justin Bieber).wav,501.9945531,837.651
1430_김보경_혼자라고 생각말기.wav,501.5007481,649.818
194_Avicii_You Make Me.wav,501.4131239,835.354
755_Diplo_Get It Right (feat. MØ).wav,501.4126287,657.58
353_Ed Sheeran_Sing.wav,500.6648779,762.462
540_Didrick_Broken Arrows (Didrick Remix).wav,498.2477436,876.879
1774_새소년_구르미.wav,497.7780746,789.741
2095_아이엠낫_Happiness.wav,497.6272451,841.548
300_Alesso_Heroes (We Could Be) (feat. Tove Lo).wav,496.1191449,838.487
1358_Andra Day_City Burns.wav,495.9607667,876.733
1289_ODESZA_White Lies (Feat. Jenni Potts).wav,495.5557904,673.521
326_Flume_Heater.wav,494.79575,826.99
1203_TAK_떠날랏꼬 (Rusty Lips Remix).wav,494.1744342,872.943
827_Zedd_Shave It Up.wav,493.6723653,874.015
