time,frequency,confidence
0.000,407.305,0.020077
0.100,412.420,0.350318
0.200,411.062,0.055790
0.300,393.365,0.111896
0.400,397.010,0.098896
0.500,444.364,0.405685
0.600,468.778,0.760181
0.700,465.686,0.951497
0.800,465.691,0.959114
0.900,467.501,0.972186
1.000,467.406,0.971100
1.100,467.349,0.960067
1.200,467.298,0.763867
1.300,464.602,0.831630
1.400,454.943,0.968780
1.500,445.188,0.930425
1.600,424.442,0.808656
1.700,412.821,0.338452
1.800,390.636,0.276097
1.900,389.462,0.479503
2.000,389.398,0.940106
2.100,422.730,0.904510
2.200,440.700,0.924011
2.300,427.947,0.772011
2.400,435.121,0.676150
2.500,391.091,0.940835
2.600,387.743,0.865031
2.700,346.819,0.940081
2.800,321.619,0.663105
2.900,287.289,0.753199
3.000,296.256,0.960926
3.100,297.362,0.962481
3.200,293.560,0.933085
3.300,290.142,0.901444
3.400,300.120,0.665359
3.500,293.573,0.874708
3.600,293.560,0.936635
3.700,294.069,0.905742
3.800,293.368,0.911357
3.900,297.989,0.896423
4.000,320.393,0.648661
4.100,374.655,0.915325
4.200,398.741,0.921569
4.300,436.975,0.943943
4.400,437.766,0.884108
4.500,434.870,0.494394
4.600,439.655,0.706124
4.700,435.385,0.949114
4.800,443.648,0.955576
4.900,443.298,0.953262
5.000,441.729,0.969179
5.100,440.685,0.940168
5.200,439.546,0.911612
5.300,440.070,0.921504
5.400,438.229,0.893287
5.500,442.588,0.705637
5.600,444.111,0.922975
5.700,441.386,0.951799
5.800,437.454,0.830619
5.900,453.405,0.409880
6.000,451.637,0.520591
6.100,492.671,0.284166
6.200,537.598,0.051402
6.300,585.867,0.205259
6.400,567.593,0.039250
6.500,583.793,0.152781
6.600,554.549,0.039250
6.700,561.119,0.028694
6.800,548.323,0.039250
6.900,551.585,0.225291
7.000,509.322,0.024759
7.100,461.274,0.159356
7.200,431.174,0.483263
7.300,432.223,0.537527
7.400,421.147,0.426000
7.500,441.299,0.967210
7.600,438.758,0.943100
7.700,466.812,0.928573
7.800,467.519,0.953920
7.900,466.261,0.931803
8.000,464.600,0.947504
8.100,469.993,0.963190
8.200,463.860,0.943069
8.300,465.136,0.912593
8.400,466.938,0.907036
8.500,467.417,0.948603
8.600,465.930,0.882686
8.700,466.603,0.869452
8.800,459.149,0.806189
8.900,444.114,0.629149
9.000,460.461,0.729616
