filename,length,chroma_mean,chroma_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,spectral_rolloff_mean,spectral_rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,mfccs_1_mean,mfccs_1_var,mfccs_2_mean,mfccs_2_var,mfccs_3_mean,mfccs_3_var,mfccs_4_mean,mfccs_4_var,mfccs_5_mean,mfccs_5_var,mfccs_6_mean,mfccs_6_var,mfccs_7_mean,mfccs_7_var,mfccs_8_mean,mfccs_8_var,mfccs_9_mean,mfccs_9_var,mfccs_10_mean,mfccs_10_var,mfccs_11_mean,mfccs_11_var,mfccs_12_mean,mfccs_12_var,mfccs_13_mean,mfccs_13_var,mfccs_14_mean,mfccs_14_var,mfccs_15_mean,mfccs_15_var,mfccs_16_mean,mfccs_16_var,mfccs_17_mean,mfccs_17_var,mfccs_18_mean,mfccs_18_var,mfccs_19_mean,mfccs_19_var,mfccs_20_mean,mfccs_20_var,bpm
1000_김범수_나타나.wav,661500,129.1992188,0.29395437,0.086899646,0.2578782,0.007266978,2187.640559,490875.4407,2548.736858,183363.0857,4945.520095,2854662.222,0.084686185,0.001582872,9.58E-05,0.042774424,0.001054191,0.014768481,0.62856317,0.029378826,0.6100827,0.025550393,0.48790437,0.015183833,0.5576156,0.020646948,0.47404748,0.03368921,0.5251611,0.02139726,0.51970613,0.026214262,0.45733747,0.025008228,0.47004265,0.02499529,0.5366681,0.018797467,0.44935316,0.034462266,0.53930765,0.03059631,0.5988554,0.019690424,0.49376965,0.02294257,0.5659361,0.027074702,0.43242434,0.02285783,0.4723821,0.023134852,0.3829836,0.018093891,0.6494681,0.015054629,0.5438448,0.021724159
1001_스탠딩 에그_예뻐서 그래.wav,661500,95.703125,0.3333996,0.093021795,0.2611425,0.006653126,1850.982664,553395.4086,2355.532142,153088.8112,4024.392332,2841271.941,0.062459562,0.002033232,-1.66E-05,0.049968958,0.000170365,0.009187883,0.632296,0.022996003,0.6341193,0.019088956,0.5256909,0.021699734,0.43578413,0.02469435,0.5814898,0.025234612,0.58637327,0.026365275,0.5062502,0.026378218,0.4721863,0.025282199,0.42008364,0.022242699,0.5358437,0.022798473,0.43362975,0.02627015,0.47655943,0.03062109,0.51519793,0.020816935,0.5029915,0.031540822,0.503794,0.031006888,0.5079372,0.024565069,0.4381711,0.025255717,0.3728729,0.01717136,0.4926477,0.023556072,0.5130667,0.021247376
1002_어반자카파_날아가다.wav,661500,161.4990234,0.26679325,0.084621735,0.21372752,0.003139283,2530.312225,232445.4347,2712.960286,69879.67399,5665.165744,1385727.741,0.092122648,0.000815067,-1.98E-06,0.037312564,-2.70E-05,0.002836789,0.62040836,0.041775696,0.40889737,0.037864573,0.5311822,0.0220422,0.37823033,0.016433802,0.53685516,0.027485112,0.49837813,0.027793935,0.5112216,0.036296938,0.5108348,0.028281763,0.54693794,0.020621099,0.37834942,0.02189714,0.5264261,0.029921,0.51280826,0.028438572,0.47160164,0.023435703,0.5204669,0.022823535,0.57328534,0.021592077,0.44757816,0.023534978,0.5014838,0.02418717,0.44288167,0.029757766,0.36803964,0.022330577,0.47346833,0.020941714
1003_곽진언 김필 임도혁_당신만이.wav,661500,95.703125,0.29847232,0.08937111,0.14389223,0.00592097,1902.793082,728504.8863,2214.252978,199780.4467,3748.993997,3075461.609,0.091763995,0.004148936,-0.004243119,0.018317288,-0.002549662,0.003006109,0.6346909,0.035334185,0.69353974,0.023772791,0.45369145,0.022830551,0.45361492,0.024381548,0.5142451,0.027027175,0.54090506,0.032215692,0.49450353,0.021770993,0.5148797,0.029989954,0.5667484,0.033768944,0.5275911,0.03230456,0.55464804,0.027725302,0.5627664,0.021805324,0.53869855,0.027708184,0.4550308,0.032656122,0.47681457,0.02725346,0.38819924,0.022556042,0.507847,0.025629427,0.38163012,0.019198151,0.48224288,0.030754948,0.4650844,0.024809362
1004_박재범_My Last (Feat. 로꼬 & GRAY).wav,661500,99.38401442,0.42429265,0.080316864,0.32776868,0.00962249,2566.847928,514302.4386,2596.116029,81457.87488,5604.141113,1403902.955,0.102703839,0.004952604,-1.46E-05,0.07364286,-4.82E-05,0.022690946,0.6073425,0.027579162,0.66889507,0.016637575,0.63538444,0.011882156,0.63026595,0.024989208,0.60657245,0.027505673,0.6311778,0.025087144,0.6004881,0.02392094,0.6082885,0.027849555,0.52811736,0.020624286,0.5802433,0.024776364,0.49511075,0.025754847,0.5266347,0.029014593,0.51581854,0.025771515,0.543779,0.023721881,0.59117055,0.020160811,0.5306216,0.022325207,0.52359957,0.02511558,0.54758286,0.02070103,0.520261,0.020116838,0.4969589,0.02128972
1005_기리보이 서출구 양홍원_Bunzi (번지).wav,661500,143.5546875,0.44385552,0.082736574,0.26137048,0.011032021,2868.793723,684311.2218,2621.979942,130108.1497,5849.764627,2398291.347,0.146524057,0.004868569,1.67E-05,0.02702943,0.000184264,0.030354697,0.6370717,0.03367938,0.64774436,0.027956354,0.5085482,0.023274953,0.5551614,0.024467826,0.5311039,0.022759266,0.5681049,0.019548163,0.57045335,0.023780022,0.4630905,0.021830862,0.51888025,0.029714154,0.51235884,0.026529215,0.4643973,0.026050225,0.4761807,0.018728765,0.4901398,0.022916362,0.50174695,0.03531726,0.5721759,0.023624528,0.49506852,0.0256528,0.5272835,0.02742984,0.5489773,0.029099181,0.5038644,0.028034216,0.531832,0.020692572
1006_Owl City_Dental Care.wav,661500,135.9991776,0.36392507,0.08758141,0.23226367,0.006959066,2612.068773,1011506.983,2519.566439,270206.3139,5268.051478,3939556.355,0.118628534,0.005910176,3.93E-06,0.03541057,1.30E-05,0.016299289,0.6209704,0.033139806,0.46507737,0.02746104,0.40166008,0.02746487,0.5181654,0.028375465,0.54360425,0.020189472,0.52947396,0.026879124,0.47369742,0.024290262,0.52696866,0.026218334,0.624985,0.024033923,0.52652305,0.023632964,0.49461213,0.024507662,0.5642754,0.027242973,0.6001074,0.028659679,0.5145955,0.028569574,0.53222364,0.020366069,0.4161063,0.022010459,0.47754747,0.02822233,0.5086048,0.028178493,0.57303625,0.024268154,0.40900266,0.018147126
1007_Justin Timberlake_CAN'T STOP THE FEELING!.wav,661500,112.3471467,0.44533154,0.079459265,0.28133848,0.00631467,2863.576769,775937.3498,2738.419302,174430.2255,6066.338318,2905804.607,0.134425869,0.005511345,2.59E-05,0.036158398,0.000360309,0.023862878,0.7443405,0.02708718,0.43211415,0.026009696,0.47935802,0.030895969,0.5275689,0.026805205,0.6623853,0.021903532,0.5006391,0.020098912,0.47373354,0.015239199,0.45793298,0.023996977,0.557571,0.031011853,0.6635991,0.019805994,0.4349069,0.026595252,0.6131811,0.020023936,0.45355305,0.03689049,0.40686116,0.018383944,0.46355808,0.023352467,0.5260253,0.029479457,0.5119572,0.023226516,0.53227943,0.01876924,0.5492005,0.022689596,0.6070548,0.020777449
1008_뜨거운 감자_비 눈물.wav,661500,117.4538352,0.41396222,0.08081724,0.26808006,0.005280024,2523.054742,336326.8605,2638.08609,94133.60338,5453.167025,1844412.745,0.116219252,0.001835721,-5.29E-06,0.03979095,-0.000211353,0.017105782,0.614339,0.022692883,0.5632673,0.02014872,0.5071473,0.016225634,0.44451535,0.023284001,0.48812875,0.025920495,0.46045882,0.030973842,0.520042,0.032352637,0.57497174,0.027383069,0.6026626,0.024851752,0.5546563,0.02983117,0.46198028,0.0286344,0.48058155,0.023612445,0.5444179,0.025944937,0.6033962,0.01961741,0.4148508,0.03150037,0.46309587,0.02148156,0.55540836,0.020800794,0.4104708,0.02368729,0.46229717,0.020491706,0.3945033,0.02648415
1009_이바다_오묘한 맛 (Taste).wav,661500,117.4538352,0.3453928,0.09483391,0.3116782,0.012701011,2317.114163,955578.6045,2368.379344,194138.0179,4766.771176,3110350.327,0.11372607,0.009400871,-4.19E-05,0.049705505,-0.000198099,0.028482987,0.8027272,0.015827157,0.562102,0.0242374,0.5478674,0.02909509,0.48698,0.027780285,0.55063695,0.022005975,0.6465883,0.031811073,0.5689929,0.017285805,0.66144085,0.023977764,0.45455357,0.025684457,0.49321017,0.023780292,0.46412915,0.027943136,0.625119,0.019542448,0.4155523,0.02209066,0.62974554,0.02133439,0.49336195,0.023378605,0.45527312,0.02305743,0.49802494,0.021384705,0.520675,0.021158755,0.3031808,0.01680976,0.37556928,0.018674256
