filename,length,chroma_mean,chroma_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,spectral_rolloff_mean,spectral_rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,mfccs_1_mean,mfccs_1_var,mfccs_2_mean,mfccs_2_var,mfccs_3_mean,mfccs_3_var,mfccs_4_mean,mfccs_4_var,mfccs_5_mean,mfccs_5_var,mfccs_6_mean,mfccs_6_var,mfccs_7_mean,mfccs_7_var,mfccs_8_mean,mfccs_8_var,mfccs_9_mean,mfccs_9_var,mfccs_10_mean,mfccs_10_var,mfccs_11_mean,mfccs_11_var,mfccs_12_mean,mfccs_12_var,mfccs_13_mean,mfccs_13_var,mfccs_14_mean,mfccs_14_var,mfccs_15_mean,mfccs_15_var,mfccs_16_mean,mfccs_16_var,mfccs_17_mean,mfccs_17_var,mfccs_18_mean,mfccs_18_var,mfccs_19_mean,mfccs_19_var,mfccs_20_mean,mfccs_20_var,bpm
3183_YB_잊을께.wav,882000,129.1992188,0.31308207,0.08866601,0.28070727,0.012201651,1945.552503,153413.7445,1756.010962,52177.55868,3850.619122,652875.1834,0.112048786,0.001220866,-0.003603463,0.060850203,-0.005290804,0.012476093,0.6147968,0.030553795,0.45704627,0.019028459,0.3869437,0.030212637,0.5145785,0.023692608,0.4125903,0.031189527,0.45617622,0.02285041,0.42121512,0.023006827,0.57412004,0.025022747,0.5084672,0.02292506,0.4448036,0.022950843,0.5352453,0.027654422,0.49038118,0.02548982,0.4784427,0.025701076,0.51015294,0.029041646,0.48402783,0.026991686,0.5613245,0.024452949,0.46461874,0.018454593,0.39286175,0.02449878,0.5110892,0.025040293,0.42691568,0.020258296
2131_피타입_볼케이노 feat. 선우정아  손수경.wav,882000,69.83741554,0.3304393,0.08777619,0.3175308,0.010163087,1719.313908,166838.0234,1724.723022,54753.52148,3596.213638,714872.9161,0.096012587,0.001207338,-3.03E-06,0.05952548,-0.00030423,0.021763649,0.6083294,0.022727288,0.6503236,0.019379035,0.43235546,0.018424802,0.5884738,0.017273998,0.49393833,0.019391583,0.5518555,0.019492667,0.5834291,0.027723989,0.53077495,0.02160717,0.5164516,0.016083773,0.50735664,0.023077678,0.52487767,0.025706818,0.42778325,0.020854939,0.46979997,0.019772934,0.45523208,0.023720834,0.464654,0.02103642,0.50131196,0.027203377,0.5097703,0.028116254,0.47821283,0.0201285,0.4086224,0.02215773,0.43928698,0.022596281
3166_에픽하이_Eyes Nose Lips feat. Taeyang.wav,882000,143.5546875,0.44045255,0.08256981,0.26548043,0.019220917,1731.757687,695749.4572,1802.522351,261680.6428,3705.379355,2783888.017,0.074939128,0.003381391,7.23E-05,0.05406295,0.000332059,0.016775895,0.66101366,0.045305673,0.6209454,0.025347216,0.36614892,0.022702873,0.5377955,0.02471292,0.46336457,0.024816804,0.5160978,0.037125826,0.496969,0.025030738,0.50228834,0.029596968,0.5350423,0.020881338,0.66196823,0.019486286,0.4487638,0.022080531,0.5324594,0.019712409,0.49782106,0.023333658,0.543807,0.016669143,0.58824056,0.034260076,0.47392735,0.019674392,0.61932516,0.024678227,0.5479094,0.021748118,0.48959562,0.019738957,0.5079711,0.016105844
1317_자이언티_눈 Feat. 이문세.wav,882000,78.30255682,0.2844704,0.088577956,0.22840399,0.008093122,1083.887904,104333.028,1473.192996,82652.18484,2156.013525,890568.2152,0.042530629,0.000347503,7.05E-06,0.050579242,2.97E-05,0.00254766,0.5628185,0.023565007,0.6622665,0.008495411,0.5610771,0.018724814,0.52127486,0.019589487,0.610315,0.014613496,0.5247814,0.026488775,0.49645332,0.026888665,0.4915165,0.018077925,0.45655483,0.025669483,0.54925793,0.01654588,0.4840542,0.019419849,0.5415363,0.021487793,0.47484538,0.02751634,0.39222652,0.028344976,0.58374566,0.027244708,0.564471,0.020957092,0.4994877,0.03046423,0.57902527,0.02424282,0.5321196,0.03201998,0.43183684,0.031084972
0733_먼데이 키즈Monday Kiz펀치Punch_Another Day.wav,882000,143.5546875,0.26679486,0.08754877,0.35301155,0.013397956,1801.100536,151989.9448,1819.845089,47364.97082,3917.08086,692445.5942,0.083533501,0.000983781,-0.003076568,0.090743214,-0.003603445,0.02063489,0.66823715,0.024563191,0.5879345,0.016683022,0.4367358,0.02111213,0.5112067,0.0255089,0.38781276,0.024592848,0.4885319,0.02341699,0.45713925,0.03145067,0.49757773,0.027366044,0.5295212,0.027461898,0.60170156,0.018320326,0.47550842,0.015802016,0.48679882,0.022081474,0.50640386,0.024652423,0.44793183,0.026746044,0.39413267,0.025586328,0.5022883,0.018225044,0.43942764,0.029507414,0.47351682,0.023597792,0.41482836,0.02758429,0.387739,0.02378748
1272_쏜애플_남극.wav,882000,60.09265988,0.3947437,0.09393889,0.2627023,0.008432974,1672.669406,382992.7346,1919.635989,59005.94389,3858.680014,1257795.262,0.066806114,0.002375297,1.75E-05,0.03681859,0.001920761,0.016684918,0.5921863,0.021515813,0.65794873,0.021764528,0.43283534,0.02438478,0.46623144,0.025469681,0.47941613,0.031024126,0.48491147,0.026680494,0.5074084,0.02966541,0.44921994,0.021071648,0.4465386,0.027164364,0.43789107,0.022137724,0.54133314,0.026449742,0.5410011,0.02030244,0.49488953,0.023070728,0.5372128,0.027357327,0.4838862,0.02081765,0.4822942,0.023482192,0.4454119,0.018704707,0.4459095,0.02299444,0.46742702,0.014767658,0.39958444,0.019997502
0892_빈지노_Break.wav,882000,129.1992188,0.42304766,0.0877424,0.3240922,0.004499565,1704.318895,264581.7295,1901.848325,111237.0632,3876.701418,1363129.139,0.072241253,0.001090023,-1.15E-05,0.052948948,-0.000584937,0.022646543,0.7278782,0.028044555,0.54300356,0.022255598,0.42994952,0.020844154,0.49614137,0.017782947,0.4341405,0.021007916,0.623277,0.012760749,0.4555758,0.025927614,0.5557861,0.022183273,0.5573942,0.01993474,0.48799092,0.022001287,0.5205744,0.021640444,0.50660187,0.020210657,0.47959968,0.024910862,0.4973612,0.021054251,0.54377484,0.020201435,0.44894576,0.02425212,0.55597395,0.02426194,0.48992357,0.01983275,0.49520525,0.014713344,0.48207766,0.020719076
0295_버스커버스커_네온사인.wav,882000,172.265625,0.37791863,0.09318943,0.2575581,0.006713665,1819.894653,256182.6891,1951.455849,72654.97021,4131.606802,1148138.036,0.087984427,0.001576017,-9.96E-07,0.038098834,3.03E-06,0.014965038,0.73995847,0.016772425,0.6462649,0.013237475,0.42523545,0.01580596,0.61673576,0.018853229,0.5023524,0.027054794,0.6088615,0.02111575,0.5479378,0.027251573,0.6123152,0.022839352,0.6020419,0.023291217,0.5415761,0.017274152,0.5493411,0.021100577,0.51633614,0.024240889,0.58743286,0.01612816,0.4650529,0.02990748,0.57517767,0.029356476,0.57524157,0.017836839,0.31823957,0.012739218,0.44385135,0.01052184,0.49992824,0.019749044,0.49959263,0.019675512
1086_레드벨벳_Rookie.wav,882000,161.4990234,0.40875027,0.091523334,0.29809353,0.004435741,2010.810322,252613.7453,1923.113851,59694.56028,4233.011567,945092.7262,0.101290729,0.002175703,3.98E-05,0.03863854,-0.000173509,0.02694332,0.69684094,0.025558457,0.58458674,0.020411199,0.4601329,0.02189646,0.5731566,0.016682098,0.4733324,0.015630638,0.62683016,0.015719958,0.44460988,0.022569517,0.56758523,0.0208299,0.5130466,0.025969706,0.5111635,0.024470689,0.6111565,0.021871008,0.49955082,0.022973312,0.46899694,0.026011666,0.45950902,0.019790335,0.44411057,0.0189251,0.4515167,0.016303673,0.41348332,0.018436776,0.46204916,0.016494855,0.4423539,0.015987793,0.4519081,0.014255499
2815_존 박_철부지.wav,882000,66.25600962,0.28872767,0.088868074,0.23596726,0.011552178,1103.194716,236436.5066,1319.336567,170230.2179,2173.103865,1375697.736,0.048879135,0.000795644,0.001024791,0.051591028,0.002064737,0.003959945,0.6424638,0.053848073,0.5578054,0.034289442,0.5196035,0.033108454,0.46251753,0.028581323,0.56117,0.035396077,0.43327516,0.025327152,0.47882643,0.028793931,0.45664206,0.028355973,0.5028719,0.026682321,0.46328095,0.024879772,0.45380443,0.033070613,0.42479992,0.025348675,0.45587084,0.025878575,0.50017864,0.025689583,0.4889271,0.022110127,0.5579056,0.025004636,0.5386007,0.029349672,0.5276107,0.022055695,0.5450713,0.019867452,0.39807346,0.02703693
3055_유보영  영원  이설아  아몬드  이예린  홍이삭  민주  다방  김다수  일상다반사_한걸음 뒤에 서면 보이는 것들.wav,882000,151.9990809,0.22342877,0.08784523,0.15740345,0.010023949,1265.223555,336007.2024,1452.047831,246244.9187,2641.704107,1917130.438,0.053781218,0.000947565,-1.79E-06,0.029820336,-1.89E-05,0.001406724,0.5641043,0.06188479,0.5200889,0.020974707,0.5231597,0.0385283,0.48989704,0.036384515,0.6044705,0.036078848,0.48316607,0.02335292,0.545304,0.017339772,0.36018953,0.029527497,0.5881056,0.022475393,0.46567464,0.026700977,0.57380986,0.026200404,0.52688414,0.025737096,0.4643354,0.028636264,0.5369112,0.023310117,0.4253054,0.020390298,0.45847633,0.02766717,0.3808442,0.0311744,0.44951093,0.020768749,0.4140742,0.03419501,0.40578157,0.025363473
2353_한동근_미치고 싶다.wav,882000,63.02400915,0.33327317,0.08715529,0.2603183,0.00802327,1614.927857,209510.9692,1760.224005,82098.3226,3423.791794,1086413.374,0.078685829,0.001171426,-8.86E-06,0.05100048,0.000122557,0.009690445,0.58512443,0.023952462,0.5556784,0.024778679,0.42123547,0.022938628,0.4369301,0.021202127,0.48414156,0.02450956,0.4999928,0.02748694,0.5648989,0.026239108,0.5774359,0.019003626,0.539434,0.029309783,0.47599286,0.019978313,0.59427816,0.022364292,0.5031875,0.020944005,0.49111366,0.02612325,0.50067836,0.026286386,0.52613497,0.01892553,0.4245237,0.0213688,0.49160212,0.01946236,0.37412417,0.0250015,0.44912508,0.022341881,0.45382217,0.027127579
2057_Sia_Snowman.wav,882000,69.83741554,0.36897862,0.08737987,0.26261163,0.012579144,1503.213009,231535.8872,1687.622529,74074.7203,3377.201091,1201020.001,0.063343369,0.001106803,5.12E-06,0.057685047,-0.000127424,0.008216174,0.60281265,0.038276456,0.6674877,0.014505878,0.5179743,0.036932886,0.5714735,0.016516674,0.44720894,0.028280832,0.45902702,0.021827813,0.4495208,0.023549903,0.49058905,0.01814874,0.5262812,0.025058845,0.46355858,0.021025788,0.49616835,0.020451356,0.4563633,0.03089083,0.5488718,0.026068486,0.56862175,0.024246424,0.5257412,0.02767867,0.5013897,0.02119405,0.4857213,0.018937672,0.5622386,0.025410272,0.5671598,0.020144818,0.4789445,0.017130094
